institution,code,name,department,province,district,category,longitude,latitude,business_hours,address,phone,department_code,province_code,district_code
GOBIERNO REGIONAL,9,SAN ANTONIO DE IQUITOS,LORETO,MAYNAS,IQUITOS,I-3,-73.37176,-3.77439,07:00 AM – 07:00 PM,Dirección del EESS,935397852,01,01,01
GOBIERNO REGIONAL,16,BELLAVISTA NANAY,LORETO,MAYNAS,PUNCHANA,I-4,-73.3468,-3.4753,07:00 AM – 07:00 PM,Dirección del EESS,935397853,02,02,02
GOBIERNO REGIONAL,23,C.S. I-3 9 DE OCTUBRE,LORETO,MAYNAS,BELEN,I-3,-73.24459961,-3.76457022,07:00 AM – 07:00 PM,Dirección del EESS,935397854,03,03,03
GOBIERNO REGIONAL,25,SAN JUAN DE MIRAFLORES,LORETO,MAYNAS,SAN JUAN BAUTISTA,I-4,-73.28655,-3.77442,07:00 AM – 07:00 PM,Dirección del EESS,935397855,04,04,04
GOBIERNO REGIONAL,27,AMERICA DE SAN JUAN BAUTISTA,LORETO,MAYNAS,SAN JUAN BAUTISTA,I-3,-73.29931008,-3.78788195,07:00 AM – 07:00 PM,Dirección del EESS,935397856,05,05,05
GOBIERNO REGIONAL,29,SANTA CLARA DE NANAY,LORETO,MAYNAS,SAN JUAN BAUTISTA,I-3,-73.33914568,-3.78567154,07:00 AM – 07:00 PM,Dirección del EESS,935397857,06,06,06
GOBIERNO REGIONAL,37,TAMSHIYACU,LORETO,MAYNAS,FERNANDO LORES,I-3,-73.157948,-4.003332,07:00 AM – 07:00 PM,Dirección del EESS,935397858,07,07,07
GOBIERNO REGIONAL,51,6 DE OCTUBRE,LORETO,MAYNAS,BELEN,I-3,-73.24459961,-3.76457022,07:00 AM – 07:00 PM,Dirección del EESS,935397859,08,08,08
GOBIERNO REGIONAL,53,ANGAMOS,LORETO,REQUENA,YAQUERANA,I-3,-72.87507715,-5.14818528,07:00 AM – 07:00 PM,Dirección del EESS,935397860,09,09,09
GOBIERNO REGIONAL,54,INDIANA,LORETO,MAYNAS,INDIANA,I-3,-73.03855748,-3.49955556,07:00 AM – 07:00 PM,Dirección del EESS,935397861,10,10,10
GOBIERNO REGIONAL,60,FRANCISCO DE ORELLANA,LORETO,MAYNAS,LAS AMAZONAS,I-3,-72.76548514,-3.4216635,07:00 AM – 07:00 PM,Dirección del EESS,935397862,11,11,11
GOBIERNO REGIONAL,63,YANASHI,LORETO,MAYNAS,LAS AMAZONAS,I-3,-72.25568419,-3.58767345,07:00 AM – 07:00 PM,Dirección del EESS,935397863,12,12,12
GOBIERNO REGIONAL,64,IPRESS I-3 MAZAN,LORETO,MAYNAS,MAZAN,I-3,-73.09167713,-3.49795605,07:00 AM – 07:00 PM,Dirección del EESS,935397864,13,13,13
GOBIERNO REGIONAL,66,HOSPITAL II-1 SANTA CLOTILDE,LORETO,MAYNAS,NAPO,II-1,-73.67675328,-2.48939688,07:00 AM – 07:00 PM,Dirección del EESS,935397865,14,14,14
GOBIERNO REGIONAL,67,P.S. I-1 NUEVA LIBERTAD O TUTAPISHCO,LORETO,MAYNAS,NAPO,I-1,-73.13872479,-3.10986745,07:00 AM – 07:00 PM,Dirección del EESS,935397866,15,15,15
GOBIERNO REGIONAL,68,NEGRO URCO,LORETO,MAYNAS,NAPO,I-1,-73.39085124,-3.02047039,07:00 AM – 07:00 PM,Dirección del EESS,935397867,16,16,16
GOBIERNO REGIONAL,69,TACSHA CURARAY,LORETO,MAYNAS,NAPO,I-1,-73.54074886,-2.81318551,07:00 AM – 07:00 PM,Dirección del EESS,935397868,17,17,17
GOBIERNO REGIONAL,70,CAMPO SERIO,LORETO,MAYNAS,TORRES CAUSANA,I-1,-74.70617865,-1.79398104,07:00 AM – 07:00 PM,Dirección del EESS,935397869,18,18,18
GOBIERNO REGIONAL,71,ANGOTEROS,LORETO,MAYNAS,TORRES CAUSANA,I-2,-74.61051508,-1.56863131,07:00 AM – 07:00 PM,Dirección del EESS,935397870,19,19,19
GOBIERNO REGIONAL,72,TEMPESTAD,LORETO,MAYNAS,TORRES CAUSANA,I-1,-74.88385358,-1.28226111,07:00 AM – 07:00 PM,Dirección del EESS,935397871,20,20,20
GOBIERNO REGIONAL,74,P.S. I-2 MCABO PANTOJA DE TORRES CAUSANA,LORETO,MAYNAS,TORRES CAUSANA,I-2,-75.17465847,-0.97041934,07:00 AM – 07:00 PM,Dirección del EESS,935397872,21,21,21
GOBIERNO REGIONAL,75,TORRES CAUSANA,LORETO,MAYNAS,TORRES CAUSANA,I-1,-75.00459122,-1.10448905,07:00 AM – 07:00 PM,Dirección del EESS,935397873,22,22,22
GOBIERNO REGIONAL,77,C.S. I-3 EL ESTRECHO,LORETO,PUTUMAYO,PUTUMAYO,I-3,-72.67166532,-2.44966707,07:00 AM – 07:00 PM,Dirección del EESS,935397874,23,23,23
GOBIERNO REGIONAL,91,NAUTA - NUCLEO BASE,LORETO,LORETO,NAUTA,I-4,-73.57614988,-4.50579542,07:00 AM – 07:00 PM,Dirección del EESS,935397875,24,24,24
GOBIERNO REGIONAL,98,SANTA RITA DE CASTILLA,LORETO,LORETO,PARINARI,I-3,-74.38039053,-4.59061924,07:00 AM – 07:00 PM,Dirección del EESS,935397876,25,25,25
GOBIERNO REGIONAL,101,INTUTO,LORETO,LORETO,TIGRE,I-3,-74.783292,-3.49001,07:00 AM – 07:00 PM,Dirección del EESS,935397877,26,26,26
GOBIERNO REGIONAL,105,VILLA TROMPETEROS,LORETO,LORETO,TROMPETEROS,I-4,-75.060695,-3.806327,07:00 AM – 07:00 PM,Dirección del EESS,935397878,27,27,27
GOBIERNO REGIONAL,109,MAYPUCO,LORETO,LORETO,URARINAS,I-3,-75.12029996,-4.82842962,07:00 AM – 07:00 PM,Dirección del EESS,935397879,28,28,28
GOBIERNO REGIONAL,113,PEVAS,LORETO,MARISCAL RAMON CASTILLA,PEBAS,I-3,-71.86058167,-3.31967333,07:00 AM – 07:00 PM,Dirección del EESS,935397880,29,29,29
GOBIERNO REGIONAL,118,CABALLOCOCHA,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,I-4,-70.51696667,-3.90842333,07:00 AM – 07:00 PM,Dirección del EESS,935397881,30,30,30
GOBIERNO REGIONAL,123,SAN PABLO,LORETO,MARISCAL RAMON CASTILLA,SAN PABLO,I-3,-71.10453333,-4.01976667,07:00 AM – 07:00 PM,Dirección del EESS,935397882,31,31,31
GOBIERNO REGIONAL,125,ISLANDIA DEL YAVARI,LORETO,MARISCAL RAMON CASTILLA,YAVARI,I-3,-70.04295178,-4.35246203,07:00 AM – 07:00 PM,Dirección del EESS,935397883,32,32,32
GOBIERNO REGIONAL,132,FLOR DE PUNGA,LORETO,REQUENA,CAPELO,I-3,-74.15770233,-5.4046023,07:00 AM – 07:00 PM,Dirección del EESS,935397884,33,33,33
GOBIERNO REGIONAL,136,GENARO HERRERA,LORETO,REQUENA,JENARO HERRERA,I-3,-73.66463391,-4.90499422,07:00 AM – 07:00 PM,Dirección del EESS,935397885,34,34,34
